0,text
2.7058823529411766,Women choose not to have a child because they are not financially stable.
2.7450980392156863,Women choose not to have a child because it is expensive to raise children.
3.019607843137255,Women who choose not to have a child due to financial reasons are judged.
3.2745098039215685,Women in high income jobs choose not to have a child because they face a high opportunity cost in losing potential earnings.
3.0980392156862746,"Childless women, who are infertile, choose not to have a child because of the high cost of fertility treatments or adoption."
2.8627450980392157,Single women choose not to have a child because they cannot bear the financial responsibility on their own.
4.510204081632653,It is perfectly reasonable for a woman to choose not to have a child.
3.4,"If a woman chooses not to have a child, society automatically has a negative perception her."
1.52,"If a woman chooses not to have a child, she is making a poor decision."
4.5,A woman who chooses to not have a child is selfish.
2.08,"A woman who does not have a child, chooses not to because of negative stories about childbirth."
2.82,A woman who does not have a child chooses to do so because of negative messages about single parent households (more specifically father not present in home).
2.72,"Women who do not have children make this decision because of outside influences such as family, religion, etc."
1.98,"A woman who does not have a child, does so based on pressure from peers."
2.52,A woman who does not have children makes this decision based on her fears that she and the other parent will have poor parenting skills.
3.86,Society places too much pressure on women to have children.
3.32,Society perceives women in same sex relationships as unable to have children.
3.6,"According to traditional views, a woman is not fulfilling her role as a woman if she chooses not to have a child."
2.06,A middle aged woman [35+ years old] who does not have a child is probably infertile.
2.7,A middle aged woman [35+ years old] who does not have a child has waited too long and will likely face health complications if she decides to have a child now.
1.92,Women who do not have children live longer than women who have children.
2.64,A woman should wait until she is physically fit before having a child.
1.56,"Women should not have children because it can cause health problems they did not have before, such as high blood pressure, depression, or anxiety."
1.5,A woman should not have a child because the health risks outweigh the benefits.
2.36,A young woman [<35 years old] should not have health concerns when considering having a child.
2.36,Concerns about health should not be a reason why a woman chooses not to have a child.
1.82,"Many experts say the best time to get pregnant is by 30 years of age. If a woman has not had a child by then, she should not have a child because of the risks."
1.94,"Biologically speaking, if a woman has not had a child by her mid-thirties, it is too late."
46.21568627450981,
